rat,band,duplex,bw_mhz,scs_khz,ssb_scs_khz,dl_arfcn_or_earfcn,dl_freq_mhz,ssb_arfcn,ssb_gscn,ssb_freq_mhz,status,notes,cfg_snippet
NR,34,TDD,5,15,15,403500,2017.5,403470,5043,2017.35,ok,,"band: 34\ndl_nr_arfcn: 403500\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 403470\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,38,TDD,5,15,15,519000,2595,518910,6486,2594.55,ok,,"band: 38\ndl_nr_arfcn: 519000\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 518910\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,39,TDD,5,15,15,379980,1899.9,379950,4749,1899.75,ok,,"band: 39\ndl_nr_arfcn: 379980\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 379950\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,40,TDD,10,30,30,470040,2350.2,469950,5874,2349.75,ok,,"band: 40\ndl_nr_arfcn: 470040\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 469950\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,41,TDD,10,30,30,518604,2593.02,518670,6483,2593.35,ok,,"band: 41\ndl_nr_arfcn: 518604\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 518670\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,48,TDD,10,30,30,641666,3624.99,641664,7933,3624.96,ok,,"band: 48\ndl_nr_arfcn: 641666\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""10000000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 641664\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,50,TDD,10,30,30,294900,1474.5,294990,3687,1474.95,ok,,"band: 50\ndl_nr_arfcn: 294900\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 294990\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
NR,53,TDD,5,15,15,497880,2489.4,497790,6222,2488.95,ok,,"band: 53\ndl_nr_arfcn: 497880\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 497790\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,65,FDD,5,15,15,431040,2155.2,431070,5388,2155.35,ok,,"band: 65\ndl_nr_arfcn: 431040\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 431070\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,66,FDD,5,15,15,429000,2145,428910,5361,2144.55,ok,,"band: 66\ndl_nr_arfcn: 429000\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 428910\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,70,FDD,5,15,15,400500,2002.5,400590,5007,2002.95,ok,,"band: 70\ndl_nr_arfcn: 400500\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 400590\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
